,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
512,2019-05-28,DTW,472,471,943,,
513,2019-05-29,DTW,477,476,953,,
514,2019-05-30,DTW,486,486,972,,
515,2019-05-31,DTW,490,490,980,,
516,2019-06-01,DTW,333,334,667,,
517,2019-06-02,DTW,449,448,897,,
518,2019-06-03,DTW,485,486,971,,
519,2019-06-04,DTW,471,471,942,,
520,2019-06-05,DTW,477,476,953,,
521,2019-06-06,DTW,485,486,971,,
522,2019-06-07,DTW,488,489,977,,
523,2019-06-08,DTW,359,359,718,,
524,2019-06-09,DTW,475,473,948,,
525,2019-06-10,DTW,503,503,1006,,
526,2019-06-11,DTW,490,490,980,,
527,2019-06-12,DTW,496,496,992,,
528,2019-06-13,DTW,499,499,998,,
529,2019-06-14,DTW,502,502,1004,,
530,2019-06-15,DTW,357,359,716,,
531,2019-06-16,DTW,471,470,941,,
532,2019-06-17,DTW,504,504,1008,,
533,2019-06-18,DTW,491,491,982,,
534,2019-06-19,DTW,497,497,994,2019-06-19,Juneteenth
535,2019-06-20,DTW,502,501,1003,,
536,2019-06-21,DTW,503,503,1006,,
537,2019-06-22,DTW,357,359,716,,
538,2019-06-23,DTW,474,473,947,,
539,2019-06-24,DTW,505,505,1010,,
540,2019-06-25,DTW,492,492,984,,
541,2019-06-26,DTW,499,499,998,,
542,2019-06-27,DTW,504,503,1007,,
543,2019-06-28,DTW,506,507,1013,,
544,2019-06-29,DTW,394,397,791,,
545,2019-06-30,DTW,415,415,830,,
546,2019-07-01,DTW,413,413,826,,
547,2019-07-02,DTW,398,398,796,,
548,2019-07-03,DTW,415,415,830,,
549,2019-07-04,DTW,345,349,694,2019-07-04,4th of July
550,2019-07-05,DTW,358,353,711,,
551,2019-07-06,DTW,392,392,784,,
552,2019-07-07,DTW,486,486,972,,
553,2019-07-08,DTW,510,510,1020,,
554,2019-07-09,DTW,503,502,1005,,
555,2019-07-10,DTW,503,503,1006,,
556,2019-07-11,DTW,507,506,1013,,
557,2019-07-12,DTW,508,509,1017,,
558,2019-07-13,DTW,392,394,786,,
559,2019-07-14,DTW,479,478,957,,
560,2019-07-15,DTW,511,510,1021,,
561,2019-07-16,DTW,504,503,1007,,
562,2019-07-17,DTW,504,504,1008,,
563,2019-07-18,DTW,508,507,1015,,
564,2019-07-19,DTW,510,510,1020,,
565,2019-07-20,DTW,391,393,784,,
566,2019-07-21,DTW,481,480,961,,
567,2019-07-22,DTW,511,511,1022,,
568,2019-07-23,DTW,504,503,1007,,
569,2019-07-24,DTW,504,504,1008,,
570,2019-07-25,DTW,508,508,1016,,
571,2019-07-26,DTW,510,510,1020,,
572,2019-07-27,DTW,391,393,784,,
573,2019-07-28,DTW,481,480,961,,
574,2019-07-29,DTW,511,511,1022,,
575,2019-07-30,DTW,504,503,1007,,
576,2019-07-31,DTW,503,504,1007,,
577,2019-08-01,DTW,511,510,1021,,
578,2019-08-02,DTW,513,513,1026,,
579,2019-08-03,DTW,392,394,786,,
580,2019-08-04,DTW,481,480,961,,
581,2019-08-05,DTW,514,514,1028,,
582,2019-08-06,DTW,506,505,1011,,
583,2019-08-07,DTW,508,508,1016,,
584,2019-08-08,DTW,511,511,1022,,
585,2019-08-09,DTW,513,513,1026,,
586,2019-08-10,DTW,389,391,780,,
587,2019-08-11,DTW,479,481,960,,
588,2019-08-12,DTW,504,504,1008,,
589,2019-08-13,DTW,489,490,979,,
590,2019-08-14,DTW,498,498,996,,
591,2019-08-15,DTW,504,502,1006,,
592,2019-08-16,DTW,507,507,1014,,
593,2019-08-17,DTW,375,379,754,,
594,2019-08-18,DTW,472,469,941,,
595,2019-08-19,DTW,504,503,1007,,
596,2019-08-20,DTW,484,485,969,,
597,2019-08-21,DTW,494,492,986,,
598,2019-08-22,DTW,499,498,997,,
599,2019-08-23,DTW,503,505,1008,,
600,2019-08-24,DTW,364,367,731,,
601,2019-08-25,DTW,472,468,940,,
602,2019-08-26,DTW,500,500,1000,,
603,2019-08-27,DTW,481,482,963,,
604,2019-08-28,DTW,492,490,982,,
605,2019-08-29,DTW,497,496,993,,
606,2019-08-30,DTW,503,504,1007,,
607,2019-08-31,DTW,319,319,638,2019-08-31,Labor Day Weekend
608,2019-09-01,DTW,324,325,649,2019-09-01,Labor Day Weekend
609,2019-09-02,DTW,431,435,866,2019-09-02,Labor Day
610,2019-09-03,DTW,428,426,854,,
611,2019-09-04,DTW,429,425,854,,
612,2019-09-05,DTW,423,425,848,,
613,2019-09-06,DTW,430,429,859,,
614,2019-09-07,DTW,318,318,636,,
615,2019-09-08,DTW,460,459,919,,
616,2019-09-09,DTW,493,492,985,,
617,2019-09-10,DTW,475,477,952,,
618,2019-09-11,DTW,481,477,958,,
619,2019-09-12,DTW,490,492,982,,
620,2019-09-13,DTW,493,493,986,,
621,2019-09-14,DTW,336,337,673,,
622,2019-09-15,DTW,459,460,919,,
623,2019-09-16,DTW,496,493,989,,
624,2019-09-17,DTW,475,477,952,,
